model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,nextgems_2049,2049-01-01T06:00,1,6.0,0.25,281.3865661621094,0.1033935546875,281.3538513183594,0.0706787109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,2,12.0,0.5,281.41851806640625,0.135345458984375,281.3721008300781,0.08892822265625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,3,18.0,0.75,281.42071533203125,0.137542724609375,281.33599853515625,0.052825927734375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,4,24.0,1.0,281.4117126464844,0.1285400390625,281.3296813964844,0.0465087890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,5,30.0,1.25,281.54693603515625,0.263763427734375,281.4430847167969,0.159912109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,6,36.0,1.5,281.57501220703125,0.291839599609375,281.4727783203125,0.189605712890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,7,42.0,1.75,281.5648498535156,0.28167724609375,281.4135437011719,0.13037109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,8,48.0,2.0,281.573486328125,0.290313720703125,281.41632080078125,0.133148193359375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,9,54.0,2.25,281.7087097167969,0.425537109375,281.53253173828125,0.249359130859375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,10,60.0,2.5,281.71630859375,0.433135986328125,281.551513671875,0.268341064453125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,11,66.0,2.75,281.6875,0.404327392578125,281.48040771484375,0.197235107421875,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,12,72.0,3.0,281.664794921875,0.381622314453125,281.4610290527344,0.1778564453125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,13,78.0,3.25,281.7599792480469,0.476806640625,281.5401916503906,0.25701904296875,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,14,84.0,3.5,281.7552795410156,0.47210693359375,281.5697937011719,0.28662109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,15,90.0,3.75,281.72979736328125,0.446624755859375,281.5208435058594,0.2376708984375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,16,96.0,4.0,281.70599365234375,0.422821044921875,281.5352783203125,0.252105712890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,17,102.0,4.25,281.80181884765625,0.518646240234375,281.6291809082031,0.34600830078125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,18,108.0,4.5,281.77630615234375,0.493133544921875,281.6262512207031,0.34307861328125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,19,114.0,4.75,281.7093200683594,0.4261474609375,281.51544189453125,0.232269287109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,20,120.0,5.0,281.6518249511719,0.36865234375,281.4670104980469,0.183837890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,21,126.0,5.25,281.7256774902344,0.4425048828125,281.5098876953125,0.226715087890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,22,132.0,5.5,281.6739501953125,0.390777587890625,281.4638977050781,0.18072509765625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,23,138.0,5.75,281.60992431640625,0.326751708984375,281.3548583984375,0.071685791015625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,24,144.0,6.0,281.5663757324219,0.283203125,281.30609130859375,0.022918701171875,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,25,150.0,6.25,281.6729431152344,0.3897705078125,281.3782653808594,0.0950927734375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,26,156.0,6.5,281.66888427734375,0.385711669921875,281.38623046875,0.103057861328125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,27,162.0,6.75,281.6356201171875,0.352447509765625,281.30010986328125,0.016937255859375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,28,168.0,7.0,281.62298583984375,0.339813232421875,281.283447265625,0.000274658203125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,29,174.0,7.25,281.718017578125,0.434844970703125,281.3986511230469,0.115478515625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,30,180.0,7.5,281.7203369140625,0.437164306640625,281.4044189453125,0.121246337890625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,31,186.0,7.75,281.72906494140625,0.445892333984375,281.3548583984375,0.071685791015625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,32,192.0,8.0,281.7707824707031,0.48760986328125,281.36700439453125,0.083831787109375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,33,198.0,8.25,281.9308776855469,0.647705078125,281.489990234375,0.206817626953125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,34,204.0,8.5,281.96270751953125,0.679534912109375,281.4983215332031,0.21514892578125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,35,210.0,8.75,281.9699401855469,0.686767578125,281.4500732421875,0.166900634765625,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,36,216.0,9.0,281.9811096191406,0.69793701171875,281.45196533203125,0.168792724609375,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,37,222.0,9.25,282.1102600097656,0.82708740234375,281.55859375,0.275421142578125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,38,228.0,9.5,282.1181640625,0.834991455078125,281.557373046875,0.274200439453125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,39,234.0,9.75,282.1040344238281,0.82086181640625,281.4931640625,0.209991455078125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
GraphCast,nextgems_2049,2049-01-01T06:00,40,240.0,10.0,282.0995178222656,0.81634521484375,281.4736328125,0.190460205078125,281.2831726074219,temperature_850hPa,temperature,850,ground_truth
