day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7747290134429932,0.08199842274188995,temperature,850,ground_truth
2,8,48.0,2.0,1.073548436164856,0.15712708234786987,temperature,850,ground_truth
3,12,72.0,3.0,1.3279316425323486,0.20378854870796204,temperature,850,ground_truth
4,16,96.0,4.0,1.7220408916473389,0.17055697739124298,temperature,850,ground_truth
5,20,120.0,5.0,2.3898234367370605,0.18460501730442047,temperature,850,ground_truth
6,24,144.0,6.0,3.1325230598449707,0.26012226939201355,temperature,850,ground_truth
7,28,168.0,7.0,3.5110533237457275,0.3395863175392151,temperature,850,ground_truth
8,32,192.0,8.0,3.479339838027954,0.4037184417247772,temperature,850,ground_truth
9,36,216.0,9.0,3.840925693511963,0.5290877819061279,temperature,850,ground_truth
10,40,240.0,10.0,4.503637313842773,0.6258898377418518,temperature,850,ground_truth
