day,step,lead_hours,lead_day,2m_temperature_rmse_k,2m_temperature_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,1.1536555290222168,0.14924003183841705,2m_temperature,,ground_truth
2,8,48.0,2.0,1.7634598016738892,0.23007382452487946,2m_temperature,,ground_truth
3,12,72.0,3.0,2.229970693588257,0.24402280151844025,2m_temperature,,ground_truth
4,16,96.0,4.0,2.3727195262908936,0.33147579431533813,2m_temperature,,ground_truth
5,20,120.0,5.0,2.7408618927001953,0.4127437472343445,2m_temperature,,ground_truth
6,24,144.0,6.0,2.9600579738616943,0.4389578104019165,2m_temperature,,ground_truth
7,28,168.0,7.0,3.020947217941284,0.48777228593826294,2m_temperature,,ground_truth
8,32,192.0,8.0,3.0667834281921387,0.5065401792526245,2m_temperature,,ground_truth
9,36,216.0,9.0,3.115239381790161,0.5348221063613892,2m_temperature,,ground_truth
10,40,240.0,10.0,3.345925807952881,0.5842022895812988,2m_temperature,,ground_truth
