model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-01-01T06:00,1,6.0,0.25,280.2107849121094,0.077117919921875,280.26666259765625,0.13299560546875,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,2,12.0,0.5,280.19677734375,0.0631103515625,280.24554443359375,0.11187744140625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,3,18.0,0.75,280.135986328125,0.0023193359375,280.20654296875,0.0728759765625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,4,24.0,1.0,280.0813293457031,-0.052337646484375,280.1711730957031,0.037506103515625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,5,30.0,1.25,280.1391296386719,0.005462646484375,280.24737548828125,0.11370849609375,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,6,36.0,1.5,280.0869445800781,-0.046722412109375,280.20703125,0.0733642578125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,7,42.0,1.75,280.0163879394531,-0.117279052734375,280.1422119140625,0.008544921875,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,8,48.0,2.0,279.9447326660156,-0.188934326171875,280.1060791015625,-0.027587890625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,9,54.0,2.25,279.9853820800781,-0.148284912109375,280.1482238769531,0.014556884765625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,10,60.0,2.5,279.9375,-0.1961669921875,280.11669921875,-0.0169677734375,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,11,66.0,2.75,279.88470458984375,-0.24896240234375,280.0610656738281,-0.072601318359375,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,12,72.0,3.0,279.8385925292969,-0.295074462890625,280.00494384765625,-0.12872314453125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,13,78.0,3.25,279.923828125,-0.2098388671875,280.0976257324219,-0.036041259765625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,14,84.0,3.5,279.8919677734375,-0.24169921875,280.0554504394531,-0.078216552734375,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,15,90.0,3.75,279.84649658203125,-0.28717041015625,280.0387878417969,-0.094879150390625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,16,96.0,4.0,279.80816650390625,-0.32550048828125,280.02044677734375,-0.11322021484375,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,17,102.0,4.25,279.89459228515625,-0.23907470703125,280.11480712890625,-0.01885986328125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,18,108.0,4.5,279.8830871582031,-0.250579833984375,280.0821228027344,-0.051544189453125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,19,114.0,4.75,279.84295654296875,-0.29071044921875,280.0478515625,-0.0858154296875,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,20,120.0,5.0,279.8390197753906,-0.294647216796875,280.036376953125,-0.0972900390625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,21,126.0,5.25,279.9689636230469,-0.164703369140625,280.17425537109375,0.04058837890625,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,22,132.0,5.5,279.9781494140625,-0.155517578125,280.1693115234375,0.03564453125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,23,138.0,5.75,279.94281005859375,-0.19085693359375,280.13360595703125,-6.103515625e-05,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-01T06:00,24,144.0,6.0,279.93487548828125,-0.19879150390625,280.1272888183594,-0.006378173828125,280.1336669921875,temperature_850hPa,temperature,850,ground_truth
