day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7010666131973267,-0.09008503705263138,temperature,850,ground_truth
2,8,48.0,2.0,0.9676805138587952,-0.16146811842918396,temperature,850,ground_truth
3,12,72.0,3.0,1.180005431175232,-0.1664438247680664,temperature,850,ground_truth
4,16,96.0,4.0,1.4391354322433472,-0.21225178241729736,temperature,850,ground_truth
5,20,120.0,5.0,1.7750608921051025,-0.197424054145813,temperature,850,ground_truth
6,24,144.0,6.0,1.9969404935836792,-0.19236813485622406,temperature,850,ground_truth
7,28,168.0,7.0,2.4052176475524902,-0.23298534750938416,temperature,850,ground_truth
8,32,192.0,8.0,2.962068557739258,-0.24946604669094086,temperature,850,ground_truth
9,36,216.0,9.0,3.416741132736206,-0.1763993501663208,temperature,850,ground_truth
10,40,240.0,10.0,3.6824185848236084,-0.09190234541893005,temperature,850,ground_truth
