model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-01-07T06:00,1,6.0,0.25,280.21575927734375,0.088470458984375,280.2540588378906,0.12677001953125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,2,12.0,0.5,280.1749267578125,0.047637939453125,280.24188232421875,0.114593505859375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,3,18.0,0.75,280.1240539550781,-0.00323486328125,280.19903564453125,0.071746826171875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,4,24.0,1.0,280.0733337402344,-0.053955078125,280.1480407714844,0.020751953125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,5,30.0,1.25,280.1589050292969,0.0316162109375,280.24639892578125,0.119110107421875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,6,36.0,1.5,280.1135559082031,-0.01373291015625,280.2131652832031,0.08587646484375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,7,42.0,1.75,280.04058837890625,-0.086700439453125,280.12713623046875,-0.000152587890625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,8,48.0,2.0,279.9809265136719,-0.1463623046875,280.0643615722656,-0.06292724609375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,9,54.0,2.25,280.0577087402344,-0.069580078125,280.13922119140625,0.011932373046875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,10,60.0,2.5,280.0247497558594,-0.1025390625,280.1214294433594,-0.005859375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,11,66.0,2.75,279.946044921875,-0.181243896484375,280.06524658203125,-0.062042236328125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,12,72.0,3.0,279.88653564453125,-0.240753173828125,279.9933776855469,-0.1339111328125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,13,78.0,3.25,279.9512939453125,-0.175994873046875,280.0469970703125,-0.080291748046875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,14,84.0,3.5,279.924072265625,-0.203216552734375,279.9987487792969,-0.1285400390625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,15,90.0,3.75,279.86065673828125,-0.266632080078125,279.9863586425781,-0.14093017578125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,16,96.0,4.0,279.8211669921875,-0.306121826171875,279.923828125,-0.203460693359375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,17,102.0,4.25,279.8865661621094,-0.24072265625,279.99871826171875,-0.128570556640625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,18,108.0,4.5,279.85968017578125,-0.267608642578125,279.9614562988281,-0.16583251953125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,19,114.0,4.75,279.79595947265625,-0.331329345703125,279.927978515625,-0.199310302734375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,20,120.0,5.0,279.7344055175781,-0.39288330078125,279.871337890625,-0.255950927734375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,21,126.0,5.25,279.78021240234375,-0.347076416015625,279.9202880859375,-0.207000732421875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,22,132.0,5.5,279.74505615234375,-0.382232666015625,279.88568115234375,-0.241607666015625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,23,138.0,5.75,279.6750183105469,-0.4522705078125,279.8134765625,-0.313812255859375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,24,144.0,6.0,279.6177978515625,-0.509490966796875,279.755859375,-0.371429443359375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,25,150.0,6.25,279.6907653808594,-0.4365234375,279.8196105957031,-0.30767822265625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,26,156.0,6.5,279.6790466308594,-0.4482421875,279.81964111328125,-0.307647705078125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,27,162.0,6.75,279.6188659667969,-0.5084228515625,279.7735290527344,-0.353759765625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,28,168.0,7.0,279.57708740234375,-0.550201416015625,279.73724365234375,-0.390045166015625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,29,174.0,7.25,279.67340087890625,-0.453887939453125,279.8130798339844,-0.314208984375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,30,180.0,7.5,279.66522216796875,-0.462066650390625,279.80523681640625,-0.322052001953125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,31,186.0,7.75,279.6026611328125,-0.524627685546875,279.7637634277344,-0.363525390625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,32,192.0,8.0,279.5697021484375,-0.557586669921875,279.7362060546875,-0.391082763671875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,33,198.0,8.25,279.65673828125,-0.470550537109375,279.8216247558594,-0.3056640625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,34,204.0,8.5,279.638916015625,-0.488372802734375,279.8152770996094,-0.31201171875,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,35,210.0,8.75,279.5839538574219,-0.5433349609375,279.7624206542969,-0.3648681640625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,36,216.0,9.0,279.5625,-0.564788818359375,279.728759765625,-0.398529052734375,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,37,222.0,9.25,279.66510009765625,-0.462188720703125,279.86798095703125,-0.259307861328125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,38,228.0,9.5,279.63922119140625,-0.488067626953125,279.8584899902344,-0.268798828125,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,39,234.0,9.75,279.5805358886719,-0.5467529296875,279.8313293457031,-0.29595947265625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-07T06:00,40,240.0,10.0,279.5663757324219,-0.5609130859375,279.7967224121094,-0.33056640625,280.1272888183594,temperature_850hPa,temperature,850,ground_truth
