day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7012961506843567,-0.07487768679857254,temperature,850,ground_truth
2,8,48.0,2.0,0.9646194577217102,-0.08353088051080704,temperature,850,ground_truth
3,12,72.0,3.0,1.205322504043579,-0.10666057467460632,temperature,850,ground_truth
4,16,96.0,4.0,1.5081641674041748,-0.10236271470785141,temperature,850,ground_truth
5,20,120.0,5.0,1.8542450666427612,-0.13699942827224731,temperature,850,ground_truth
6,24,144.0,6.0,2.1079678535461426,-0.13790112733840942,temperature,850,ground_truth
7,28,168.0,7.0,2.4367008209228516,-0.16024500131607056,temperature,850,ground_truth
8,32,192.0,8.0,2.750281572341919,-0.16662171483039856,temperature,850,ground_truth
9,36,216.0,9.0,3.132573366165161,-0.16613511741161346,temperature,850,ground_truth
10,40,240.0,10.0,3.350853204727173,-0.23057058453559875,temperature,850,ground_truth
