day,step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference
1,4,24.0,1.0,1.1537730693817139,0.14977407455444336,ground_truth
2,8,48.0,2.0,1.7624140977859497,0.23080632090568542,ground_truth
3,12,72.0,3.0,2.228619337081909,0.24463260173797607,ground_truth
4,16,96.0,4.0,2.3666419982910156,0.3315345346927643,ground_truth
5,20,120.0,5.0,2.7391059398651123,0.41345497965812683,ground_truth
6,24,144.0,6.0,2.9664783477783203,0.44057607650756836,ground_truth
7,28,168.0,7.0,3.024540424346924,0.4878338873386383,ground_truth
8,32,192.0,8.0,3.0586423873901367,0.5074540972709656,ground_truth
9,36,216.0,9.0,3.116184949874878,0.5344495177268982,ground_truth
10,40,240.0,10.0,3.3236184120178223,0.5888247489929199,ground_truth
