day,step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference
1,4,24.0,1.0,0.8537447452545166,-0.09055806696414948,ground_truth
2,8,48.0,2.0,1.0613306760787964,-0.10673267394304276,ground_truth
3,12,72.0,3.0,1.2733571529388428,-0.08961598575115204,ground_truth
4,16,96.0,4.0,1.501239538192749,-0.09722749888896942,ground_truth
5,20,120.0,5.0,1.827123761177063,-0.08877816051244736,ground_truth
6,24,144.0,6.0,2.1499977111816406,-0.07699582725763321,ground_truth
7,28,168.0,7.0,2.371896505355835,-0.06526251882314682,ground_truth
8,32,192.0,8.0,2.8088908195495605,-0.05022406950592995,ground_truth
9,36,216.0,9.0,3.0731101036071777,-0.06050952896475792,ground_truth
10,40,240.0,10.0,3.1857054233551025,-0.10315277427434921,ground_truth
