model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-07-22T06:00,1,6.0,0.25,283.5921936035156,0.106201171875,283.6358642578125,0.149871826171875,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,2,12.0,0.5,283.591552734375,0.105560302734375,283.6166687011719,0.13067626953125,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,3,18.0,0.75,283.5401611328125,0.054168701171875,283.6038818359375,0.117889404296875,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,4,24.0,1.0,283.46826171875,-0.017730712890625,283.52740478515625,0.041412353515625,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,5,30.0,1.25,283.5772705078125,0.091278076171875,283.6742858886719,0.18829345703125,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,6,36.0,1.5,283.56915283203125,0.083160400390625,283.6422119140625,0.156219482421875,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,7,42.0,1.75,283.505859375,0.019866943359375,283.59423828125,0.108245849609375,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,8,48.0,2.0,283.4102478027344,-0.07574462890625,283.4696960449219,-0.01629638671875,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,9,54.0,2.25,283.5228271484375,0.036834716796875,283.60784912109375,0.121856689453125,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,10,60.0,2.5,283.503173828125,0.017181396484375,283.5726623535156,0.086669921875,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-07-22T06:00,11,66.0,2.75,283.4324035644531,-0.0535888671875,283.55279541015625,0.066802978515625,283.4859924316406,temperature_850hPa,temperature,850,ground_truth
