day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7270691990852356,-0.03359493985772133,temperature,850,ground_truth
2,8,48.0,2.0,0.9201043248176575,-0.04306873306632042,temperature,850,ground_truth
3,12,72.0,3.0,1.2197023630142212,-0.04918935149908066,temperature,850,ground_truth
4,16,96.0,4.0,1.5035594701766968,-0.06647319346666336,temperature,850,ground_truth
5,20,120.0,5.0,1.790779948234558,-0.09155590087175369,temperature,850,ground_truth
6,24,144.0,6.0,2.2263343334198,-0.14967064559459686,temperature,850,ground_truth
7,28,168.0,7.0,2.7267813682556152,-0.17049410939216614,temperature,850,ground_truth
8,32,192.0,8.0,3.131303548812866,-0.1683778613805771,temperature,850,ground_truth
9,36,216.0,9.0,3.4901621341705322,-0.18677812814712524,temperature,850,ground_truth
10,40,240.0,10.0,3.7464239597320557,-0.14280502498149872,temperature,850,ground_truth
