step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference
1,0.0,0.0,0.0,0.0,initial_state
2,120.0,5.0,3.521953582763672,-0.12988236546516418,initial_state
3,240.0,10.0,3.692577600479126,-0.24847319722175598,initial_state
4,360.0,15.0,3.670713424682617,-0.2090967744588852,initial_state
5,480.0,20.0,4.1894097328186035,-0.271779328584671,initial_state
6,600.0,25.0,3.7687153816223145,-0.2675051987171173,initial_state
7,720.0,30.0,3.998715400695801,-0.013444362208247185,initial_state
8,840.0,35.0,4.107240676879883,0.22512158751487732,initial_state
9,960.0,40.0,4.28759241104126,-0.07485548406839371,initial_state
10,1080.0,45.0,3.7376363277435303,0.028511714190244675,initial_state
11,1200.0,50.0,4.39562463760376,0.10369127988815308,initial_state
12,1320.0,55.0,4.7293195724487305,-0.029723448678851128,initial_state
13,1440.0,60.0,4.715743541717529,0.2664490044116974,initial_state
14,1560.0,65.0,4.68626594543457,0.2777685523033142,initial_state
15,1680.0,70.0,4.647422790527344,0.28629350662231445,initial_state
16,1800.0,75.0,5.277821063995361,0.6342526078224182,initial_state
17,1920.0,80.0,5.5774102210998535,0.8460333943367004,initial_state
18,2040.0,85.0,6.130455017089844,1.1095517873764038,initial_state
19,2160.0,90.0,6.523580551147461,1.067607045173645,initial_state
20,2280.0,95.0,6.958322048187256,1.3614799976348877,initial_state
21,2400.0,100.0,7.000809192657471,1.5376111268997192,initial_state
22,2520.0,105.0,7.580582618713379,1.7164219617843628,initial_state
23,2640.0,110.0,7.797386646270752,1.9539161920547485,initial_state
24,2760.0,115.0,8.352516174316406,2.0760672092437744,initial_state
25,2880.0,120.0,8.048739433288574,2.354949712753296,initial_state
26,3000.0,125.0,8.540513038635254,2.280562162399292,initial_state
27,3120.0,130.0,8.868014335632324,2.526746988296509,initial_state
28,3240.0,135.0,9.054749488830566,2.811831474304199,initial_state
29,3360.0,140.0,9.78681468963623,2.8431406021118164,initial_state
30,3480.0,145.0,10.242968559265137,2.8799500465393066,initial_state
31,3600.0,150.0,10.889312744140625,3.152865171432495,initial_state
32,3720.0,155.0,11.355646133422852,3.1471238136291504,initial_state
33,3840.0,160.0,11.53564739227295,3.283827304840088,initial_state
34,3960.0,165.0,11.723102569580078,3.178978681564331,initial_state
35,4080.0,170.0,12.035107612609863,3.3004202842712402,initial_state
36,4200.0,175.0,12.311531066894531,3.769862651824951,initial_state
37,4320.0,180.0,12.627326965332031,3.609018564224243,initial_state
38,4440.0,185.0,13.18528938293457,3.375889778137207,initial_state
39,4560.0,190.0,13.44472599029541,3.710230588912964,initial_state
40,4680.0,195.0,12.89907455444336,3.964386224746704,initial_state
41,4800.0,200.0,13.475214004516602,3.812579393386841,initial_state
42,4920.0,205.0,13.447381973266602,3.818589448928833,initial_state
43,5040.0,210.0,13.386576652526855,3.8898158073425293,initial_state
44,5160.0,215.0,13.340797424316406,3.998826026916504,initial_state
45,5280.0,220.0,13.159368515014648,4.261144161224365,initial_state
46,5400.0,225.0,12.871585845947266,3.856203556060791,initial_state
47,5520.0,230.0,12.94302749633789,3.7402093410491943,initial_state
48,5640.0,235.0,13.092421531677246,3.6455013751983643,initial_state
49,5760.0,240.0,12.31956672668457,3.6530561447143555,initial_state
50,5880.0,245.0,12.287467956542969,3.4766526222229004,initial_state
51,6000.0,250.0,12.12176513671875,3.5120081901550293,initial_state
52,6120.0,255.0,11.660436630249023,3.498978853225708,initial_state
53,6240.0,260.0,10.81735610961914,3.251124382019043,initial_state
54,6360.0,265.0,10.741861343383789,3.065333604812622,initial_state
55,6480.0,270.0,10.500980377197266,2.857118844985962,initial_state
56,6600.0,275.0,9.953497886657715,2.7975757122039795,initial_state
57,6720.0,280.0,9.882885932922363,2.823977470397949,initial_state
58,6840.0,285.0,9.30431842803955,2.8072330951690674,initial_state
59,6960.0,290.0,8.365898132324219,2.2967770099639893,initial_state
60,7080.0,295.0,7.7025980949401855,1.9287375211715698,initial_state
61,7200.0,300.0,6.972188472747803,1.8865820169448853,initial_state
62,7320.0,305.0,6.585464954376221,2.0047571659088135,initial_state
63,7440.0,310.0,6.175521373748779,1.7168129682540894,initial_state
64,7560.0,315.0,5.9176716804504395,1.5021425485610962,initial_state
65,7680.0,320.0,5.2015604972839355,1.4371684789657593,initial_state
66,7800.0,325.0,5.403010845184326,1.324397325515747,initial_state
67,7920.0,330.0,4.666223049163818,1.0142979621887207,initial_state
68,8040.0,335.0,4.364170074462891,0.689948558807373,initial_state
69,8160.0,340.0,4.069429397583008,0.8670781850814819,initial_state
70,8280.0,345.0,4.518138408660889,0.9708197116851807,initial_state
71,8400.0,350.0,4.005705833435059,0.7531028389930725,initial_state
72,8520.0,355.0,3.9715609550476074,0.8016009330749512,initial_state
73,8640.0,360.0,4.097074031829834,0.6599805951118469,initial_state
