step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,n_init
0,0.0,0.0,0.5404740869998932,-0.05627594701945775,2
1,6.0,0.25,0.5116084516048431,-0.0046839704737067,2
2,12.0,0.5,0.714878112077713,-0.0762751176953315,2
3,18.0,0.75,0.7235879898071289,-0.0342206936329603,2
4,24.0,1.0,0.8908554017543793,0.004308823496103252,2
5,30.0,1.25,0.959372341632843,-0.0033665820956229955,2
6,36.0,1.5,1.1829913854599,-0.1142444163560867,2
7,42.0,1.75,1.228407919406891,-0.08548781182616945,2
8,48.0,2.0,1.3746084570884705,-0.0583911675494164,2
9,54.0,2.25,1.4330230355262756,-0.04712166497483845,2
10,60.0,2.5,1.588558554649353,-0.12920592725276944,2
11,66.0,2.75,1.6528407335281372,-0.1021051406860351,2
12,72.0,3.0,1.7640402913093567,-0.0548838013783097,2
13,78.0,3.25,1.7984375953674316,-0.0422838134691119,2
14,84.0,3.5,1.9194567799568178,-0.126304805278778,2
15,90.0,3.75,1.9278108477592468,-0.10036698728799816,2
16,96.0,4.0,2.0252983570098877,-0.0441342084668576,2
17,102.0,4.25,2.0609028339385986,-0.04285108391195536,2
18,108.0,4.5,2.190396547317505,-0.13962104544043535,2
19,114.0,4.75,2.1923105716705322,-0.11173952184617514,2
20,120.0,5.0,2.3060702085494995,-0.0493085198104381,2
21,126.0,5.25,2.3888009786605835,-0.042885642498731544,2
22,132.0,5.5,2.486025333404541,-0.1051053442060947,2
23,138.0,5.75,2.512628674507141,-0.06640885211527345,2
24,144.0,6.0,2.623022437095642,0.0004057325422763998,2
25,150.0,6.25,2.694764733314514,-0.00078712194226685,2
26,156.0,6.5,2.782663941383362,-0.036009263247251455,2
27,162.0,6.75,2.7576454877853394,0.00417964583903085,2
28,168.0,7.0,2.7937793731689453,0.041613172739744145,2
29,174.0,7.25,2.8253220319747925,0.0307742534205317,2
30,180.0,7.5,2.869666814804077,0.0001762229949236003,2
31,186.0,7.75,2.871657371520996,0.0239120591431856,2
32,192.0,8.0,2.928808808326721,0.06143236905336375,2
33,198.0,8.25,2.934706449508667,0.051165603101253454,2
34,204.0,8.5,2.9634429216384888,0.01069842744618655,2
35,210.0,8.75,2.9699801206588745,0.0297096027061343,2
36,216.0,9.0,2.9947644472122192,0.14135789498686785,2
37,222.0,9.25,3.0047197341918945,0.1527092345058918,2
38,228.0,9.5,3.0500681400299072,0.1110052186995745,2
39,234.0,9.75,3.100322723388672,0.11806229781359436,2
40,240.0,10.0,3.143692135810852,0.19178248196840286,2
