dataset,year,variable,level,region,hour,value,anom,n_days,anom_sd,value_sd,anom_lo,anom_hi,value_lo,value_hi
ERA5 1955,1955,geopotential,500,europe,0,54547.700801045394,-11.060773927919895,365,74.7517886621192,1223.1679966093914,-18.72950040134554,-3.392047454494251,54422.21697029127,54673.184631799515
ERA5 1955,1955,geopotential,500,europe,6,54484.523511895524,-74.23806307779302,365,38.1273046736105,1218.3201852030008,-78.14951290319433,-70.3266132523917,54359.537014253234,54609.510009537815
ERA5 1955,1955,geopotential,500,europe,12,54602.27946387859,43.51788890526743,365,34.13546812767207,1242.834184376558,40.01595841238395,47.0198193981509,54474.77809458177,54729.78083317541
ERA5 1955,1955,geopotential,500,europe,18,54600.54252307376,41.78094810044514,365,76.91294548279615,1247.8585559422932,33.890510269731955,49.67138593115832,54472.52570749896,54728.55933864856
ERA5 2023,2023,geopotential,500,europe,0,54931.69569920979,2.496854908962946,365,71.99619984462683,1084.0413343067926,-4.889177901972612,9.882887719898505,54820.48476195367,55042.906636465916
ERA5 2023,2023,geopotential,500,europe,6,54877.14820061854,-52.05064368229493,365,30.364981949574442,1078.3888370402021,-55.16576300063436,-48.93552436395551,54766.51714855587,54987.77925268121
ERA5 2023,2023,geopotential,500,europe,12,54952.73505305927,23.53620875843959,365,27.76617627142816,1094.1230462489661,20.68769884517235,26.38471867170683,54840.48984100314,55064.980265115395
ERA5 2023,2023,geopotential,500,europe,18,54955.21642431572,26.017580014891738,365,73.2662556161088,1095.8359543086394,18.501253193714973,33.5339068360685,54842.795486385745,55067.63736224569
NextGEMS-2049,2049,geopotential,500,europe,0,55349.419750349385,-1.0221124270192328,365,73.50658292921855,1161.007258749258,-8.563094235873452,6.518869381834985,55230.31294019326,55468.52656050551
NextGEMS-2049,2049,geopotential,500,europe,6,55299.02644697298,-51.41541580342535,365,30.144652416890583,1159.4604858623,-54.50793169045683,-48.322899916393865,55180.07831901562,55417.97457493034
NextGEMS-2049,2049,geopotential,500,europe,12,55375.154757351374,24.71289457496896,365,28.892148076487565,1173.670402681276,21.74887211084064,27.67691703909728,55254.74884534302,55495.56066935973
NextGEMS-2049,2049,geopotential,500,europe,18,55378.16649643188,27.72463365547536,365,73.71535671310107,1175.6366694911649,20.16223391038079,35.287033400569925,55257.55886667725,55498.7741261865
ERA5 1955,1955,temperature,850,europe,0,276.69504413820295,-0.12272451475971033,365,0.23254233722639922,5.5545874049527555,-0.14658084796052454,-0.09886818155889612,276.12520343948927,277.2648848369166
ERA5 1955,1955,temperature,850,europe,6,276.4133502327039,-0.4044184202587354,365,0.2073783009134053,5.47222527320518,-0.42569319501251424,-0.3831436455049566,275.85195899950065,276.9747414659072
ERA5 1955,1955,temperature,850,europe,12,277.03811288266644,0.22034422970378847,365,0.13019249256648185,5.66669176028254,0.2069878855646709,0.23370057384290605,276.45677148740907,277.6194542779238
ERA5 1955,1955,temperature,850,europe,18,277.1245673582773,0.30679870531465836,365,0.28468725277948387,5.734681030035221,0.27759286675064837,0.33600454387866835,276.53625099797637,277.71288371857827
ERA5 2023,2023,temperature,850,europe,0,278.09021699094524,-0.04739779755415639,365,0.20006167797066277,5.427396882770212,-0.06792196578652204,-0.026873629321790743,277.5334246666195,278.64700931527096
ERA5 2023,2023,temperature,850,europe,6,277.8366961971257,-0.30091859137365035,365,0.1565656814968729,5.3453820454103935,-0.31698053996396464,-0.28485664278333606,277.2883177096557,278.38507468459574
ERA5 2023,2023,temperature,850,europe,12,278.25405102295986,0.11643623446044417,365,0.0893479313901105,5.479359432448915,0.10727010132757402,0.12560236759331433,277.69192790204073,278.816174143879
ERA5 2023,2023,temperature,850,europe,18,278.36949494296675,0.2318801544673638,365,0.24137108463343263,5.540232575778835,0.20711808710046112,0.25664222183426644,277.8011268947472,278.9378629911863
NextGEMS-2049,2049,temperature,850,europe,0,278.9816517030982,-0.04819564229214038,365,0.22832202073233226,6.242040842648202,-0.07161901658449857,-0.024772267999782185,278.3412857036358,279.6220177025606
NextGEMS-2049,2049,temperature,850,europe,6,278.71804304588863,-0.3118042995016861,365,0.18361881011862277,6.144319499877735,-0.3306416070146924,-0.29296699198867976,278.0877022011648,279.34838389061247
NextGEMS-2049,2049,temperature,850,europe,12,279.1439682163214,0.11412087093109667,365,0.10086817501507,6.297425808377802,0.10377288517840004,0.1244688566837933,278.4979203173283,279.79001611531453
NextGEMS-2049,2049,temperature,850,europe,18,279.275726416253,0.24587907086272603,365,0.27351278574929866,6.3641684059215375,0.21781961197302915,0.27393852975242294,278.6228314473255,279.9286213851805
