step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference
1,0.0,0.0,0.0,0.0,initial_state
2,120.0,5.0,3.8765923976898193,0.25029683113098145,initial_state
3,240.0,10.0,4.559115886688232,0.4287295937538147,initial_state
4,360.0,15.0,4.238789081573486,0.5634739995002747,initial_state
5,480.0,20.0,4.803417682647705,0.5495765209197998,initial_state
6,600.0,25.0,4.696493625640869,0.37548497319221497,initial_state
7,720.0,30.0,4.789408206939697,0.4932272434234619,initial_state
8,840.0,35.0,4.561326026916504,0.36122891306877136,initial_state
9,960.0,40.0,4.322050094604492,0.25883862376213074,initial_state
10,1080.0,45.0,4.4492716789245605,0.435049444437027,initial_state
11,1200.0,50.0,4.6033430099487305,0.2491375356912613,initial_state
12,1320.0,55.0,4.617020606994629,0.38378721475601196,initial_state
13,1440.0,60.0,4.798865795135498,0.27934297919273376,initial_state
14,1560.0,65.0,5.316348552703857,0.7209221720695496,initial_state
15,1680.0,70.0,5.346529006958008,1.0188127756118774,initial_state
16,1800.0,75.0,5.4792375564575195,1.031440019607544,initial_state
17,1920.0,80.0,6.45404577255249,1.4078049659729004,initial_state
18,2040.0,85.0,6.073336124420166,1.2983042001724243,initial_state
19,2160.0,90.0,6.256724834442139,1.5543973445892334,initial_state
20,2280.0,95.0,6.653930187225342,1.7484875917434692,initial_state
21,2400.0,100.0,7.428114891052246,1.962033748626709,initial_state
22,2520.0,105.0,8.456155776977539,2.236931324005127,initial_state
23,2640.0,110.0,8.303667068481445,2.1802093982696533,initial_state
24,2760.0,115.0,9.09859848022461,2.512544631958008,initial_state
25,2880.0,120.0,10.098052978515625,2.538405418395996,initial_state
26,3000.0,125.0,10.159045219421387,2.537876605987549,initial_state
27,3120.0,130.0,10.4108304977417,2.6545040607452393,initial_state
28,3240.0,135.0,10.17485523223877,2.9454610347747803,initial_state
29,3360.0,140.0,10.813084602355957,2.931227207183838,initial_state
30,3480.0,145.0,11.297894477844238,2.9985525608062744,initial_state
31,3600.0,150.0,11.666715621948242,3.008108139038086,initial_state
32,3720.0,155.0,12.069096565246582,3.19323992729187,initial_state
33,3840.0,160.0,12.75031566619873,3.3200604915618896,initial_state
34,3960.0,165.0,12.731949806213379,3.5844016075134277,initial_state
35,4080.0,170.0,13.073819160461426,3.596308946609497,initial_state
36,4200.0,175.0,13.299532890319824,3.7097415924072266,initial_state
37,4320.0,180.0,13.577751159667969,3.6508400440216064,initial_state
38,4440.0,185.0,13.659274101257324,3.6779990196228027,initial_state
39,4560.0,190.0,13.740503311157227,3.6864824295043945,initial_state
40,4680.0,195.0,13.733790397644043,3.6471269130706787,initial_state
41,4800.0,200.0,14.384535789489746,3.619575262069702,initial_state
42,4920.0,205.0,14.320735931396484,3.624986171722412,initial_state
43,5040.0,210.0,14.02278995513916,3.8132011890411377,initial_state
44,5160.0,215.0,13.961530685424805,3.788433074951172,initial_state
45,5280.0,220.0,13.815216064453125,3.507958173751831,initial_state
46,5400.0,225.0,13.704431533813477,3.4455201625823975,initial_state
47,5520.0,230.0,13.784282684326172,3.53887677192688,initial_state
48,5640.0,235.0,13.328154563903809,3.477039098739624,initial_state
49,5760.0,240.0,12.9793062210083,3.242205858230591,initial_state
50,5880.0,245.0,12.715850830078125,3.1963679790496826,initial_state
51,6000.0,250.0,12.693199157714844,2.8324389457702637,initial_state
52,6120.0,255.0,12.435693740844727,2.7473878860473633,initial_state
53,6240.0,260.0,11.925000190734863,2.459859848022461,initial_state
54,6360.0,265.0,10.987502098083496,2.2541744709014893,initial_state
55,6480.0,270.0,10.320115089416504,2.20925235748291,initial_state
56,6600.0,275.0,9.894462585449219,2.1070961952209473,initial_state
57,6720.0,280.0,9.526185989379883,1.8932396173477173,initial_state
58,6840.0,285.0,9.523468971252441,1.8151439428329468,initial_state
59,6960.0,290.0,8.878512382507324,1.564113736152649,initial_state
60,7080.0,295.0,8.423020362854004,1.5099595785140991,initial_state
61,7200.0,300.0,7.985931396484375,1.3825383186340332,initial_state
62,7320.0,305.0,7.600917816162109,1.0543268918991089,initial_state
63,7440.0,310.0,7.106560230255127,1.2684975862503052,initial_state
64,7560.0,315.0,6.325822353363037,0.9148748517036438,initial_state
65,7680.0,320.0,5.742249965667725,0.716559112071991,initial_state
66,7800.0,325.0,6.029783248901367,0.5122239589691162,initial_state
67,7920.0,330.0,4.963335037231445,0.38515704870224,initial_state
68,8040.0,335.0,5.198758602142334,0.4485662579536438,initial_state
69,8160.0,340.0,4.134575366973877,0.42827048897743225,initial_state
70,8280.0,345.0,4.359011650085449,0.38274085521698,initial_state
71,8400.0,350.0,3.9558145999908447,0.09125455468893051,initial_state
72,8520.0,355.0,4.018524646759033,0.1824532449245453,initial_state
73,8640.0,360.0,4.053123474121094,0.11366146057844162,initial_state
